Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/Francis.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/Frassati.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/Lisieux.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/SaintScreens/MacKillop.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/More.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/Romero.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/Siena.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/refs/heads/main/SaintScreens/Teresa.jpeg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
Exhibit09,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/2021ECC.jpg,0:00:10,1:00:00,1/1/2025 0:00,12/31/30 23:59,yes
