Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/ECC.jpg,0:00:10,1:00:00,1/1/2025 0:00,9/06/2026 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide1.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide2.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide3.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide4.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide5.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide6.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/HappyBirthday/Sonja/Slide7.jpeg,0:00:15,1:00:00,6/26/2026 0:00,6/26/2026 23:59,yes
